Channel_1,Channel_2,Channel_3,Channel_4
0.000000,-41.074749,31.966141,54.332417
0.000001,-41.026569,31.896521,54.312984
0.000001,-40.850765,31.829277,54.332630
-0.000001,-40.740479,31.781422,54.470726
0.000002,-40.707596,31.845102,54.567497
0.000001,-40.576488,31.912113,54.592216
0.000001,-40.479244,32.003273,54.634014
-0.000001,-40.277393,32.161568,54.585926
0.000001,-40.068935,32.352581,54.594486
0.000001,-40.007782,32.467651,54.728176
-0.000000,-40.115654,32.332508,54.722546
-0.000000,-40.313183,32.132534,54.551548
-0.000000,-40.431900,32.039707,54.447762
0.000000,-40.477070,31.962576,54.410522
0.000000,-40.533726,31.920853,54.389259
0.000001,-40.688538,31.880877,54.431095
-0.000001,-40.899940,31.763281,54.406475
-0.000001,-40.915810,31.776230,54.428612
-0.000001,-40.746128,31.903835,54.574108
-0.000001,-40.570763,31.938137,54.596970
0.000002,-40.434704,31.867315,54.612751
0.000001,-40.346092,31.838482,54.790028
-0.000001,-40.398708,31.914774,54.930431
-0.000001,-40.544979,31.899355,54.833847
0.000001,-40.679752,31.762857,54.684021
-0.000000,-40.686871,31.746035,54.634171
-0.000001,-40.737587,31.717188,54.501930
0.000000,-40.829258,31.656551,54.363949
-0.000000,-40.910568,31.760452,54.323292
-0.000002,-40.875286,31.999605,54.326565
0.000002,-40.789291,32.152977,54.363651
0.000002,-40.718765,32.267609,54.448677
-0.000001,-40.660389,32.318996,54.496040
-0.000001,-40.602085,32.213596,54.578777
-0.000001,-40.637344,32.067619,54.727959
0.000000,-40.717407,31.932755,54.769463
-0.000002,-40.641289,31.848572,54.755074
-0.000000,-40.480343,31.854429,54.739536
0.000001,-40.503227,31.823095,54.584171
-0.000000,-40.582512,31.802008,54.446548
0.000000,-40.634121,31.888424,54.363628
0.000000,-40.722733,31.974607,54.289333
-0.000001,-40.809376,32.108837,54.323334
-0.000001,-40.868633,32.135506,54.284607
-0.000001,-40.779514,32.077263,54.283669
-0.000001,-40.633835,32.001991,54.398331
-0.000000,-40.635601,31.911659,54.518112
0.000001,-40.632156,31.892956,54.512775
0.000000,-40.583622,31.975403,54.511600
0.000001,-40.639004,31.959270,54.572147
0.000000,-40.692219,31.865152,54.685616
-0.000000,-40.696865,31.762848,54.837578
0.000000,-40.743553,31.693306,54.987236
-0.000001,-40.868042,31.696495,55.008736
0.000000,-41.026566,31.735441,54.996014
-0.000001,-41.162556,31.826101,55.006302
0.000000,-41.164375,31.956381,54.894562
-0.000000,-41.050247,32.117149,54.767719
0.000001,-40.941605,32.173794,54.714882
-0.000001,-40.962708,32.141685,54.752197
-0.000000,-41.088932,32.089821,54.749729
-0.000000,-41.171631,32.072762,54.826336
0.000000,-41.078091,32.128170,55.000168
-0.000000,-40.951672,32.197445,55.074635
-0.000000,-40.862942,32.179401,55.034660
-0.000000,-40.804543,32.096420,55.008057
0.000000,-40.756947,32.098064,55.071823
0.000000,-40.786430,32.159885,55.028931
-0.000000,-40.735649,32.242455,54.913418
0.000000,-40.608776,32.254517,54.899113
-0.000000,-40.521503,32.303383,54.962189
0.000001,-40.460205,32.268078,54.990845
-0.000000,-40.460968,32.110641,54.968967
-0.000000,-40.575336,31.925121,54.932938
0.000000,-40.571678,31.990974,55.043137
-0.000000,-40.480423,32.119255,55.117496
0.000000,-40.395859,32.259293,55.147923
-0.000001,-40.296150,32.447571,55.364769
0.000001,-40.225765,32.548782,55.569267
0.000001,-40.205883,32.537891,55.600903
-0.000001,-40.219780,32.556244,55.610992
0.000001,-40.297733,32.565983,55.568401
0.000000,-40.392815,32.495777,55.522236
-0.000000,-40.496525,32.420647,55.487343
-0.000000,-40.632084,32.304497,55.306599
-0.000000,-40.628193,32.226757,55.135433
0.000000,-40.680145,32.111679,54.999397
-0.000000,-40.809628,32.040604,54.909199
0.000000,-40.978825,31.989292,54.863205
0.000000,-41.054020,32.077690,54.793495
0.000000,-41.029469,32.193745,54.753567
-0.000000,-40.923122,32.331768,54.765587
0.000000,-40.789593,32.385284,54.822414
-0.000000,-40.652664,32.454086,54.907127
0.000000,-40.581436,32.478928,54.978096
-0.000000,-40.631104,32.416245,54.915230
0.000000,-40.779366,32.275913,54.829475
-0.000000,-40.982933,32.082092,54.757450
0.000000,-41.140392,31.910841,54.687843
0.000000,-41.232563,31.753752,54.607895
0.000000,-41.305073,31.667006,54.514790
0.000000,-41.343693,31.643559,54.326210
0.000000,-41.292923,31.680174,54.156265
-0.000000,-41.128963,31.850161,54.094387
-0.000000,-40.994976,31.978411,54.195091
-0.000000,-40.939766,32.044209,54.280918
-0.000000,-40.939159,32.013458,54.243500
0.000000,-40.988312,31.966034,54.149155
0.000000,-40.992767,32.076088,54.174576
0.000000,-40.888813,32.186298,54.300423
0.000000,-40.707394,32.389690,54.418892
-0.000000,-40.578983,32.498230,54.525925
0.000000,-40.492325,32.385311,54.623989
0.000000,-40.582458,32.293537,54.512470
0.000000,-40.661255,32.396908,54.395000
-0.000000,-40.595852,32.458176,54.435242
-0.000000,-40.475380,32.449883,54.510082
0.000000,-40.367039,32.390553,54.596680
0.000000,-40.378269,32.256882,54.649155
0.000000,-40.375324,32.076805,54.667629
0.000000,-40.377567,31.978537,54.698433
-0.000000,-40.511036,31.904516,54.700226
0.000000,-40.604103,31.912271,54.719696
-0.000000,-40.678123,31.897850,54.705101
-0.000000,-40.669445,31.875654,54.680424
0.000000,-40.637791,32.017887,54.700817
0.000000,-40.694412,32.165504,54.722813
-0.000000,-40.728916,32.296143,54.752014
-0.000000,-40.714508,32.282585,54.698086
0.000000,-40.608749,32.234432,54.679657
-0.000000,-40.526077,32.156158,54.648197
0.000000,-40.553459,31.984835,54.613235
0.000000,-40.466717,31.976072,54.633854
-0.000000,-40.421444,31.939066,54.681042
0.000000,-40.415157,31.825060,54.769318
-0.000000,-40.445690,31.772078,54.792988
0.000001,-40.565243,31.746174,54.718426
0.000001,-40.402874,31.865614,54.675900
0.000001,-40.207512,32.003681,54.642586
0.000001,-40.152721,32.073387,54.544846
-0.000000,-40.155441,32.215115,54.602768
0.000000,-40.118702,32.443516,54.780258
-0.000001,-40.120731,32.542084,54.777687
0.000001,-40.215694,32.412453,54.684486
-0.000001,-40.231178,32.380817,54.713272
-0.000000,-40.292961,32.330120,54.711948
-0.000000,-40.371216,32.217632,54.736385
0.000000,-40.334312,32.106865,54.899128
0.000000,-40.166954,32.124973,55.092186
-0.000000,-40.012356,32.140598,55.192493
-0.000000,-39.953236,32.223160,55.235065
-0.000001,-39.994343,32.236935,55.213932
0.000000,-40.015686,32.134094,55.145061
-0.000000,-40.047901,32.001190,54.989456
0.000000,-40.039635,31.982752,54.994141
-0.000000,-40.089832,31.973637,55.035202
-0.000000,-40.241280,31.903122,55.060917
-0.000001,-40.391346,31.755836,55.002502
0.000001,-40.440975,31.617573,54.975529
-0.000001,-40.406422,31.612572,55.041080
-0.000001,-40.300091,31.611855,55.107220
0.000001,-40.159100,31.614985,55.096123
0.000001,-40.112476,31.643417,54.990273
0.000001,-40.089127,31.673597,54.944672
-0.000000,-40.219856,31.713379,54.992481
-0.000000,-40.346626,31.807281,55.068310
0.000001,-40.305332,31.927353,55.084866
-0.000000,-40.276947,31.943438,55.145924
-0.000000,-40.247189,31.951128,55.189873
0.000001,-40.134468,32.086834,55.212593
-0.000001,-39.939156,32.318413,55.264477
0.000000,-39.832970,32.399376,55.201740
0.000001,-39.801712,32.318001,55.052479
0.000000,-39.897686,32.183605,54.886356
-0.000000,-40.002766,32.141300,54.844574
-0.000000,-40.033272,32.188725,54.904259
-0.000000,-40.094463,32.242142,54.908760
0.000000,-40.278702,32.119396,54.795479
-0.000001,-40.419537,32.012646,54.724888
0.000001,-40.309105,32.125153,54.823555
-0.000000,-40.193897,32.284477,54.976562
0.000000,-40.209465,32.301842,55.059048
-0.000000,-40.082718,32.293209,55.134876
0.000001,-39.990040,32.256519,55.234615
-0.000001,-39.905037,32.367290,55.331676
-0.000001,-39.839012,32.382225,55.326290
0.000001,-39.870735,32.201168,55.341808
-0.000001,-40.021420,32.008675,55.301540
0.000001,-40.212234,31.864019,55.274971
