Channel_1,Channel_2,Channel_3,Channel_4
0.000000,178.274857,6.843421,27.842548
-0.000000,178.414597,6.833008,27.820639
-0.000000,178.502731,6.768924,27.894335
-0.000000,178.514496,6.727632,27.988033
-0.000000,178.470215,6.691400,27.909824
-0.000000,178.425995,6.667166,27.821293
0.000000,178.457932,6.772117,27.865108
-0.000000,178.439560,6.886227,28.010080
0.000000,178.369431,6.912369,28.094328
-0.000000,178.378448,6.944539,28.130472
-0.000000,178.404083,6.990564,28.073072
0.000000,178.391464,7.056511,28.017502
0.000000,178.341782,7.086267,28.056025
0.000000,178.296005,7.120132,28.157619
0.000000,178.311905,7.163353,28.210583
-0.000000,178.310974,7.157660,28.152925
0.000000,178.232132,7.110225,28.078030
0.000000,178.195999,7.117176,28.113646
-0.000000,178.231430,7.078067,28.223173
0.000000,178.237473,6.986664,28.289814
0.000000,178.183060,7.007258,28.246939
0.000000,178.109131,7.094469,28.260365
-0.000000,178.007202,7.150303,28.254480
0.000000,178.011658,7.156252,28.199141
-0.000000,178.072067,7.141676,28.204489
0.000000,178.116837,7.128611,28.188547
-0.000000,178.078781,7.025341,28.113382
0.000000,178.000458,7.048135,28.053350
-0.000000,177.899185,7.163816,28.004608
0.000000,177.827698,7.174845,27.899904
-0.000000,177.685501,7.069921,27.734407
-0.000000,177.571762,6.916805,27.666588
-0.000000,177.627563,6.824625,27.809990
-0.000000,177.748779,6.898393,27.982851
-0.000000,177.802826,7.053306,28.102760
0.000000,177.789871,7.136284,28.166880
-0.000000,177.789520,7.234368,28.254736
0.000000,177.796768,7.307738,28.394926
0.000000,177.849930,7.236382,28.463955
-0.000000,177.932846,7.126929,28.408199
0.000000,177.976105,7.044408,28.340357
-0.000000,177.926437,6.959052,28.305902
0.000000,177.761444,6.883086,28.233128
0.000000,177.542786,6.755861,28.052744
0.000000,177.484268,6.719491,28.052734
0.000000,177.586136,6.776749,28.260435
-0.000000,177.749176,6.913064,28.437078
0.000000,177.822952,6.881599,28.408916
0.000000,177.877686,6.645447,28.303810
-0.000000,177.979782,6.609953,28.294361
0.000000,178.038879,6.737473,28.226463
-0.000000,177.964737,6.736810,28.058222
0.000000,177.947372,6.733702,28.020990
-0.000000,177.868820,6.675017,28.020817
0.000000,177.794769,6.580069,27.984539
0.000000,177.866638,6.604020,28.074976
0.000000,177.988388,6.660207,28.169703
-0.000000,178.157913,6.788002,28.321005
0.000000,178.193085,6.890925,28.440111
-0.000000,178.215210,6.959653,28.477209
-0.000000,178.250320,7.016516,28.477751
-0.000000,178.263580,7.036850,28.378170
-0.000000,178.221817,7.053041,28.272049
-0.000000,178.056274,7.007282,28.119967
-0.000000,177.996307,7.038909,27.990755
0.000000,178.075012,7.109842,27.907465
0.000000,178.136444,7.103774,27.889017
-0.000000,178.187256,7.054798,27.854694
0.000000,178.295349,7.178738,27.975454
-0.000000,178.368179,7.350527,28.063274
0.000000,178.438797,7.394115,27.991699
-0.000000,178.434204,7.374864,28.049129
-0.000000,178.291122,7.338942,28.076721
-0.000000,178.333023,7.427458,28.107121
-0.000000,178.491425,7.522679,28.147942
-0.000000,178.474808,7.436850,28.126211
-0.000000,178.390121,7.246448,28.074888
-0.000000,178.366821,7.134090,28.071005
-0.000000,178.390305,7.071946,28.082270
0.000000,178.509766,7.118993,28.145124
-0.000000,178.633499,7.273582,28.125134
-0.000000,178.617462,7.258824,27.980904
0.000000,178.563797,7.106780,27.894781
0.000000,178.609863,6.895722,27.876747
0.000000,178.661453,6.687926,27.873402
0.000000,178.835770,6.606371,27.921898
0.000000,179.063751,6.698020,28.010014
0.000000,179.100449,6.709455,27.969828
0.000000,178.994202,6.733768,27.871025
-0.000000,178.949020,6.895784,27.836220
0.000000,179.025787,7.091011,27.854385
0.000000,179.126709,7.239141,27.854591
0.000000,179.147842,7.290145,27.893847
0.000000,179.164169,7.324583,27.901539
0.000000,179.190750,7.361449,27.830660
-0.000000,179.155060,7.386317,27.765385
0.000000,179.080460,7.413431,27.864496
-0.000000,178.994507,7.386355,27.990387
-0.000000,178.995926,7.289060,27.962879
0.000000,178.985229,7.229949,27.859356
0.000000,178.985092,7.308150,27.872181
-0.000000,178.885788,7.252541,27.855879
0.000000,178.806030,7.158396,27.867153
-0.000000,178.891296,7.162740,27.902306
-0.000000,179.040314,7.133739,27.873072
-0.000000,179.014816,7.091903,27.792875
-0.000000,178.904327,7.033668,27.672546
0.000000,178.868408,7.042146,27.717344
-0.000000,178.937531,7.088118,27.908907
0.000000,178.946609,7.021334,28.009947
0.000000,178.910339,7.016699,27.981684
0.000000,178.872437,7.075396,27.998062
-0.000000,178.776474,7.053514,27.949278
0.000000,178.606628,6.998937,27.825642
0.000000,178.579132,7.046048,27.792059
-0.000000,178.662827,7.086365,27.815401
-0.000000,178.704605,7.067822,27.813105
0.000000,178.667282,7.016664,27.759382
-0.000000,178.639740,7.004598,27.800121
0.000000,178.662949,7.098957,27.967964
0.000000,178.520432,7.076863,27.967373
0.000000,178.434113,7.022048,27.861460
-0.000000,178.497818,7.053164,27.836075
0.000000,178.666107,7.160826,27.821959
-0.000000,178.792023,7.135170,27.864397
0.000000,178.922485,7.135437,27.999926
-0.000000,179.133194,7.113342,28.142895
-0.000000,179.358643,7.118253,28.163586
-0.000000,179.602280,7.183743,28.163225
-0.000000,179.719162,7.157568,28.211258
0.000000,179.613159,7.039376,28.187788
-0.000000,179.375458,6.848052,28.097128
-0.000000,179.149902,6.693221,28.009367
0.000000,178.969666,6.715620,27.960167
-0.000000,178.961929,6.724158,28.014275
0.000000,178.970215,6.726344,28.037802
0.000000,178.866287,6.744066,27.987360
-0.000000,178.903015,6.749044,28.029234
-0.000000,179.005905,6.814794,28.034664
-0.000000,178.969193,6.828161,28.072712
-0.000000,178.882141,6.792808,28.175667
-0.000000,178.840836,6.902889,28.143085
0.000000,178.889435,7.006431,28.186176
-0.000000,178.960861,7.118523,28.285845
-0.000000,178.890793,7.142145,28.245079
-0.000000,178.815994,7.151233,28.242941
-0.000000,178.702408,7.131414,28.233049
0.000000,178.699142,7.140481,28.331621
0.000000,178.744461,7.046028,28.397270
0.000000,178.767227,6.957940,28.414673
0.000000,178.753464,6.893808,28.414272
0.000000,178.798080,6.820258,28.551342
-0.000000,178.764481,6.752009,28.599995
0.000000,178.671906,6.615528,28.454344
0.000000,178.701950,6.645330,28.395399
-0.000000,178.776505,6.694937,28.451242
-0.000000,178.913513,6.671831,28.504158
-0.000000,179.125107,6.733288,28.609777
-0.000000,179.244156,6.890235,28.667490
0.000000,179.319611,6.981669,28.680056
-0.000000,179.242493,6.927104,28.605425
-0.000000,179.106567,6.846255,28.557043
-0.000000,179.125214,6.914377,28.563271
0.000000,179.264755,7.065724,28.587536
-0.000000,179.359238,7.135364,28.560942
0.000000,179.346649,7.035037,28.466963
0.000000,179.215500,6.855476,28.337088
0.000000,179.117767,6.721787,28.245958
-0.000000,179.006500,6.694962,28.175049
0.000000,178.868118,6.722592,28.201729
-0.000000,178.734314,6.712632,28.315592
0.000000,178.437012,6.652408,28.293247
0.000000,178.202744,6.576335,28.297895
0.000000,178.167297,6.628272,28.379839
0.000000,178.199844,6.767927,28.465378
-0.000000,178.176819,6.903388,28.469557
0.000000,178.160400,6.958509,28.444481
-0.000000,178.274689,7.049496,28.476870
0.000000,178.247375,7.172908,28.446663
-0.000000,178.074280,7.257059,28.392584
-0.000000,178.044540,7.407417,28.352266
0.000000,178.037628,7.505683,28.387762
-0.000000,178.120621,7.544545,28.498671
0.000000,178.276062,7.526102,28.590508
0.000000,178.413971,7.508256,28.712263
0.000000,178.584076,7.579654,28.929216
-0.000000,178.706726,7.589099,29.058922
-0.000000,178.818970,7.535777,29.186069
0.000000,178.825623,7.446847,29.182186
0.000000,178.761688,7.417951,29.047638
0.000000,178.539734,7.316292,28.842030
0.000000,178.300064,7.168637,28.648350
-0.000000,178.203613,7.073799,28.493986
0.000000,178.215744,6.952821,28.438002
0.000000,178.258621,6.855985,28.471228
-0.000000,178.220276,6.793405,28.489826
-0.000000,178.222214,6.756558,28.570892
0.000000,178.262497,6.739229,28.533522
0.000000,178.352051,6.739158,28.517910
-0.000000,178.430832,6.733464,28.559210
-0.000000,178.413300,6.718854,28.482983
0.000000,178.354568,6.708023,28.407772
-0.000000,178.414169,6.762092,28.454407
0.000000,178.572540,6.864409,28.531834
0.000000,178.563354,6.887867,28.574121
-0.000000,178.462982,6.869199,28.532675
0.000000,178.442764,6.907809,28.514809
0.000000,178.462799,6.963033,28.506804
-0.000000,178.381165,6.982106,28.472179
0.000000,178.224747,6.947232,28.434528
-0.000000,178.171631,6.879190,28.404924
-0.000000,178.213074,6.879641,28.484093
0.000000,178.226501,6.747714,28.441339
0.000000,178.121628,6.622353,28.312830
-0.000000,178.055191,6.636484,28.265745
-0.000000,178.000748,6.635859,28.245056
0.000000,178.033325,6.630963,28.229368
0.000000,178.120926,6.669245,28.217400
0.000000,178.315323,6.879725,28.272005
-0.000000,178.460800,6.958833,28.282934
0.000000,178.524109,6.885750,28.292828
-0.000000,178.464478,6.848454,28.341894
0.000000,178.304520,6.905772,28.365259
0.000000,178.331223,7.138477,28.509579
-0.000000,178.389206,7.290047,28.705078
0.000000,178.400558,7.307450,28.740976
0.000000,178.301178,7.237945,28.578156
0.000000,178.312027,7.218814,28.405308
0.000000,178.387573,7.212224,28.310066
0.000000,178.378296,7.101803,28.263762
-0.000000,178.241623,6.933533,28.213099
