id,range,velocity,angle
000,20.0,0.0,-50.0
001,20.0,0.0,-25.0
002,20.0,0.0,0.0
003,20.0,0.0,25.0
004,20.0,0.0,50.0
010,20.0,937.5,-50.0
011,20.0,937.5,-25.0
012,20.0,937.5,0.0
013,20.0,937.5,25.0
014,20.0,937.5,50.0
020,20.0,1875.0,-50.0
021,20.0,1875.0,-25.0
022,20.0,1875.0,0.0
023,20.0,1875.0,25.0
024,20.0,1875.0,50.0
030,20.0,2812.5,-50.0
031,20.0,2812.5,-25.0
032,20.0,2812.5,0.0
033,20.0,2812.5,25.0
034,20.0,2812.5,50.0
040,20.0,3750.0,-50.0
041,20.0,3750.0,-25.0
042,20.0,3750.0,0.0
043,20.0,3750.0,25.0
044,20.0,3750.0,50.0
050,20.0,4687.5,-50.0
051,20.0,4687.5,-25.0
052,20.0,4687.5,0.0
053,20.0,4687.5,25.0
054,20.0,4687.5,50.0
060,20.0,5625.0,-50.0
061,20.0,5625.0,-25.0
062,20.0,5625.0,0.0
063,20.0,5625.0,25.0
064,20.0,5625.0,50.0
070,20.0,6562.5,-50.0
071,20.0,6562.5,-25.0
072,20.0,6562.5,0.0
073,20.0,6562.5,25.0
074,20.0,6562.5,50.0
080,20.0,7500.0,-50.0
081,20.0,7500.0,-25.0
082,20.0,7500.0,0.0
083,20.0,7500.0,25.0
084,20.0,7500.0,50.0
090,20.0,8437.5,-50.0
091,20.0,8437.5,-25.0
092,20.0,8437.5,0.0
093,20.0,8437.5,25.0
094,20.0,8437.5,50.0
0100,20.0,9375.0,-50.0
0101,20.0,9375.0,-25.0
0102,20.0,9375.0,0.0
0103,20.0,9375.0,25.0
0104,20.0,9375.0,50.0
0110,20.0,10312.5,-50.0
0111,20.0,10312.5,-25.0
0112,20.0,10312.5,0.0
0113,20.0,10312.5,25.0
0114,20.0,10312.5,50.0
0120,20.0,11250.0,-50.0
0121,20.0,11250.0,-25.0
0122,20.0,11250.0,0.0
0123,20.0,11250.0,25.0
0124,20.0,11250.0,50.0
0130,20.0,12187.5,-50.0
0131,20.0,12187.5,-25.0
0132,20.0,12187.5,0.0
0133,20.0,12187.5,25.0
0134,20.0,12187.5,50.0
0140,20.0,13125.0,-50.0
0141,20.0,13125.0,-25.0
0142,20.0,13125.0,0.0
0143,20.0,13125.0,25.0
0144,20.0,13125.0,50.0
0150,20.0,14062.5,-50.0
0151,20.0,14062.5,-25.0
0152,20.0,14062.5,0.0
0153,20.0,14062.5,25.0
0154,20.0,14062.5,50.0
0160,20.0,15000.0,-50.0
0161,20.0,15000.0,-25.0
0162,20.0,15000.0,0.0
0163,20.0,15000.0,25.0
0164,20.0,15000.0,50.0
100,40.0,0.0,-50.0
101,40.0,0.0,-25.0
102,40.0,0.0,0.0
103,40.0,0.0,25.0
104,40.0,0.0,50.0
110,40.0,937.5,-50.0
111,40.0,937.5,-25.0
112,40.0,937.5,0.0
113,40.0,937.5,25.0
114,40.0,937.5,50.0
120,40.0,1875.0,-50.0
121,40.0,1875.0,-25.0
122,40.0,1875.0,0.0
123,40.0,1875.0,25.0
124,40.0,1875.0,50.0
130,40.0,2812.5,-50.0
131,40.0,2812.5,-25.0
132,40.0,2812.5,0.0
133,40.0,2812.5,25.0
134,40.0,2812.5,50.0
140,40.0,3750.0,-50.0
141,40.0,3750.0,-25.0
142,40.0,3750.0,0.0
143,40.0,3750.0,25.0
144,40.0,3750.0,50.0
150,40.0,4687.5,-50.0
151,40.0,4687.5,-25.0
152,40.0,4687.5,0.0
153,40.0,4687.5,25.0
154,40.0,4687.5,50.0
160,40.0,5625.0,-50.0
161,40.0,5625.0,-25.0
162,40.0,5625.0,0.0
163,40.0,5625.0,25.0
164,40.0,5625.0,50.0
170,40.0,6562.5,-50.0
171,40.0,6562.5,-25.0
172,40.0,6562.5,0.0
173,40.0,6562.5,25.0
174,40.0,6562.5,50.0
180,40.0,7500.0,-50.0
181,40.0,7500.0,-25.0
182,40.0,7500.0,0.0
183,40.0,7500.0,25.0
184,40.0,7500.0,50.0
190,40.0,8437.5,-50.0
191,40.0,8437.5,-25.0
192,40.0,8437.5,0.0
193,40.0,8437.5,25.0
194,40.0,8437.5,50.0
1100,40.0,9375.0,-50.0
1101,40.0,9375.0,-25.0
1102,40.0,9375.0,0.0
1103,40.0,9375.0,25.0
1104,40.0,9375.0,50.0
1110,40.0,10312.5,-50.0
1111,40.0,10312.5,-25.0
1112,40.0,10312.5,0.0
1113,40.0,10312.5,25.0
1114,40.0,10312.5,50.0
1120,40.0,11250.0,-50.0
1121,40.0,11250.0,-25.0
1122,40.0,11250.0,0.0
1123,40.0,11250.0,25.0
1124,40.0,11250.0,50.0
1130,40.0,12187.5,-50.0
1131,40.0,12187.5,-25.0
1132,40.0,12187.5,0.0
1133,40.0,12187.5,25.0
1134,40.0,12187.5,50.0
1140,40.0,13125.0,-50.0
1141,40.0,13125.0,-25.0
1142,40.0,13125.0,0.0
1143,40.0,13125.0,25.0
1144,40.0,13125.0,50.0
1150,40.0,14062.5,-50.0
1151,40.0,14062.5,-25.0
1152,40.0,14062.5,0.0
1153,40.0,14062.5,25.0
1154,40.0,14062.5,50.0
1160,40.0,15000.0,-50.0
1161,40.0,15000.0,-25.0
1162,40.0,15000.0,0.0
1163,40.0,15000.0,25.0
1164,40.0,15000.0,50.0
200,60.0,0.0,-50.0
201,60.0,0.0,-25.0
202,60.0,0.0,0.0
203,60.0,0.0,25.0
204,60.0,0.0,50.0
210,60.0,937.5,-50.0
211,60.0,937.5,-25.0
212,60.0,937.5,0.0
213,60.0,937.5,25.0
214,60.0,937.5,50.0
220,60.0,1875.0,-50.0
221,60.0,1875.0,-25.0
222,60.0,1875.0,0.0
223,60.0,1875.0,25.0
224,60.0,1875.0,50.0
230,60.0,2812.5,-50.0
231,60.0,2812.5,-25.0
232,60.0,2812.5,0.0
233,60.0,2812.5,25.0
234,60.0,2812.5,50.0
240,60.0,3750.0,-50.0
241,60.0,3750.0,-25.0
242,60.0,3750.0,0.0
243,60.0,3750.0,25.0
244,60.0,3750.0,50.0
250,60.0,4687.5,-50.0
251,60.0,4687.5,-25.0
252,60.0,4687.5,0.0
253,60.0,4687.5,25.0
254,60.0,4687.5,50.0
260,60.0,5625.0,-50.0
261,60.0,5625.0,-25.0
262,60.0,5625.0,0.0
263,60.0,5625.0,25.0
264,60.0,5625.0,50.0
270,60.0,6562.5,-50.0
271,60.0,6562.5,-25.0
272,60.0,6562.5,0.0
273,60.0,6562.5,25.0
274,60.0,6562.5,50.0
280,60.0,7500.0,-50.0
281,60.0,7500.0,-25.0
282,60.0,7500.0,0.0
283,60.0,7500.0,25.0
284,60.0,7500.0,50.0
290,60.0,8437.5,-50.0
291,60.0,8437.5,-25.0
